LD=64
Using: cuda
Epoch 136/400 | G_loss: 1.20960 | D_loss: 0.66689 | D_real_acc: 63.69% | D_fake_acc: 99.06% | Class_acc: 100.00%
Epoch 137/400 | G_loss: 1.18246 | D_loss: 0.69412 | D_real_acc: 60.94% | D_fake_acc: 92.12% | Class_acc: 100.00%
Epoch 138/400 | G_loss: 1.18573 | D_loss: 0.72787 | D_real_acc: 56.44% | D_fake_acc: 89.94% | Class_acc: 100.00%
Epoch 139/400 | G_loss: 1.36132 | D_loss: 0.68003 | D_real_acc: 63.44% | D_fake_acc: 98.25% | Class_acc: 99.94%
Epoch 140/400 | G_loss: 1.32392 | D_loss: 0.66569 | D_real_acc: 66.62% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 141/400 | G_loss: 1.23576 | D_loss: 0.67534 | D_real_acc: 62.19% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 142/400 | G_loss: 1.20601 | D_loss: 0.67550 | D_real_acc: 63.31% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 143/400 | G_loss: 1.18745 | D_loss: 0.64096 | D_real_acc: 68.94% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 144/400 | G_loss: 1.17998 | D_loss: 0.67792 | D_real_acc: 61.12% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 145/400 | G_loss: 1.23087 | D_loss: 0.64673 | D_real_acc: 66.50% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 146/400 | G_loss: 1.18478 | D_loss: 0.67332 | D_real_acc: 63.62% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 147/400 | G_loss: 1.24739 | D_loss: 0.64496 | D_real_acc: 68.19% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 148/400 | G_loss: 1.33955 | D_loss: 0.63873 | D_real_acc: 68.69% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 149/400 | G_loss: 1.22431 | D_loss: 0.64090 | D_real_acc: 64.00% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 150/400 | G_loss: 1.18125 | D_loss: 0.63285 | D_real_acc: 67.00% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 151/400 | G_loss: 1.10724 | D_loss: 0.63625 | D_real_acc: 71.19% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 152/400 | G_loss: 1.08304 | D_loss: 0.64279 | D_real_acc: 65.06% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 153/400 | G_loss: 1.11578 | D_loss: 0.64400 | D_real_acc: 60.44% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 154/400 | G_loss: 1.10125 | D_loss: 0.64976 | D_real_acc: 62.50% | D_fake_acc: 98.19% | Class_acc: 100.00%
Epoch 155/400 | G_loss: 1.15039 | D_loss: 0.64872 | D_real_acc: 62.31% | D_fake_acc: 97.88% | Class_acc: 100.00%
Epoch 156/400 | G_loss: 1.20568 | D_loss: 0.65357 | D_real_acc: 62.12% | D_fake_acc: 97.69% | Class_acc: 100.00%
Epoch 157/400 | G_loss: 1.09314 | D_loss: 0.63319 | D_real_acc: 66.12% | D_fake_acc: 96.25% | Class_acc: 100.00%
Epoch 158/400 | G_loss: 1.11744 | D_loss: 0.63525 | D_real_acc: 67.12% | D_fake_acc: 94.62% | Class_acc: 100.00%
Epoch 159/400 | G_loss: 1.19524 | D_loss: 0.66598 | D_real_acc: 63.44% | D_fake_acc: 91.69% | Class_acc: 100.00%
Epoch 160/400 | G_loss: 1.13050 | D_loss: 0.67908 | D_real_acc: 64.94% | D_fake_acc: 92.56% | Class_acc: 100.00%
Epoch 161/400 | G_loss: 1.22305 | D_loss: 0.62666 | D_real_acc: 75.19% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 162/400 | G_loss: 1.59767 | D_loss: 0.65451 | D_real_acc: 83.62% | D_fake_acc: 100.00% | Class_acc: 98.56%
Epoch 163/400 | G_loss: 1.38381 | D_loss: 0.59291 | D_real_acc: 87.12% | D_fake_acc: 100.00% | Class_acc: 99.81%
Epoch 164/400 | G_loss: 1.30482 | D_loss: 0.67206 | D_real_acc: 65.25% | D_fake_acc: 90.25% | Class_acc: 99.94%
Epoch 165/400 | G_loss: 1.14347 | D_loss: 0.62462 | D_real_acc: 69.19% | D_fake_acc: 97.94% | Class_acc: 100.00%
Epoch 166/400 | G_loss: 1.18143 | D_loss: 0.63065 | D_real_acc: 71.38% | D_fake_acc: 96.56% | Class_acc: 100.00%
Epoch 167/400 | G_loss: 1.11761 | D_loss: 0.61963 | D_real_acc: 65.56% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 168/400 | G_loss: 1.18382 | D_loss: 0.63953 | D_real_acc: 69.75% | D_fake_acc: 98.44% | Class_acc: 100.00%
Epoch 169/400 | G_loss: 1.21545 | D_loss: 0.66036 | D_real_acc: 65.19% | D_fake_acc: 99.94% | Class_acc: 99.88%
Epoch 170/400 | G_loss: 1.31121 | D_loss: 0.63574 | D_real_acc: 68.69% | D_fake_acc: 100.00% | Class_acc: 99.88%
Epoch 171/400 | G_loss: 1.30387 | D_loss: 0.64858 | D_real_acc: 70.12% | D_fake_acc: 95.31% | Class_acc: 99.94%
Epoch 172/400 | G_loss: 1.23115 | D_loss: 0.61555 | D_real_acc: 75.56% | D_fake_acc: 95.31% | Class_acc: 99.88%
Epoch 173/400 | G_loss: 1.31788 | D_loss: 0.66558 | D_real_acc: 64.62% | D_fake_acc: 100.00% | Class_acc: 100.00%
Epoch 174/400 | G_loss: 1.25133 | D_loss: 0.64444 | D_real_acc: 66.25% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 175/400 | G_loss: 1.19780 | D_loss: 0.63701 | D_real_acc: 69.56% | D_fake_acc: 100.00% | Class_acc: 99.94%
Epoch 176/400 | G_loss: 1.19808 | D_loss: 0.62230 | D_real_acc: 71.00% | D_fake_acc: 100.00% | Class_acc: 99.94%
